donation_place,car_owner,active_hours_start,active_hours_end
10 Dorton Avenue,true,10:20 AM,4:06 PM
6967 Hayes Circle,false,9:39 AM,8:06 PM
3865 Brickson Park Street,true,8:39 AM,6:29 PM
0657 Sutherland Junction,false,10:36 AM,1:31 PM
7979 Mitchell Circle,false,8:02 AM,2:10 PM
235 Forest Dale Lane,true,9:40 AM,8:28 PM
20 Mallory Court,true,7:36 AM,9:26 PM
95138 Kedzie Court,true,5:20 AM,4:53 PM
3222 Derek Way,true,8:59 AM,1:14 PM
689 Bashford Drive,true,8:39 AM,8:46 PM
0 Oneill Pass,false,6:11 AM,6:59 PM
18392 2nd Court,false,6:52 AM,5:01 PM
32433 Arapahoe Place,false,10:59 AM,4:48 PM
61197 Westerfield Center,true,10:16 AM,2:15 PM
344 Lawn Hill,true,6:01 AM,2:51 PM
97 Northland Parkway,true,10:10 AM,3:10 PM
89 Esch Court,false,9:02 AM,6:17 PM
0286 Magdeline Terrace,true,8:00 AM,4:44 PM
6 Glacier Hill Lane,true,8:41 AM,1:39 PM
0590 Westerfield Pass,false,8:09 AM,8:47 PM
